MSE,MAE,RMSE,MAPE,R2,Accuracy,F1,Stock,Model
0.0059605082497,0.0636156350374221,0.0772043279207847,253.4486293792725,-0.4233726263046264,0.5067114093959731,0.4048582995951417,2379,TCN
0.124391570687294,0.2767378687858581,0.35269189200674,181.3819169998169,-0.5008121728897095,0.5973154362416108,0.689119170984456,2408,TCN
0.0061372248455882,0.0616260766983032,0.0783404419542563,240.11669158935547,-0.6303850412368774,0.5167785234899329,0.4893617021276595,3034,TCN
0.1084413826465606,0.2639135420322418,0.3293043920851355,497.2667694091797,-4.754385471343994,0.3657718120805369,0.136986301369863,2327,TCN
0.0064309863373637,0.0638886615633964,0.0801934307619004,185.59212684631348,-0.4190129041671753,0.4765100671140939,0.6176470588235294,2474,TCN
0.0102587034925818,0.0818324759602546,0.1012852580219937,496.50282859802246,-0.4925721883773803,0.5268456375838926,0.6158038147138964,2395,TCN
0.0227404180914163,0.127996563911438,0.1507992642270391,364.99335765838623,-0.0807210206985473,0.587248322147651,0.6554621848739496,6669,TCN
0.0268431864678859,0.1347321420907974,0.1638389040120995,445.5984115600586,-2.904629945755005,0.5906040268456376,0.1527777777777778,2603,TCN
0.0092620830982923,0.0795569643378257,0.0962397168444107,152.2085428237915,-0.1858446598052978,0.4765100671140939,0.5031847133757962,2609,TCN
0.0140382125973701,0.0824361965060234,0.1184829633211887,243.91350746154785,0.0130855441093444,0.6577181208053692,0.4069767441860465,2615,TCN
0.0040075993165373,0.0490419901907444,0.0633056025683144,243.0349349975586,-0.481108546257019,0.4664429530201342,0.3954372623574144,2207,TCN
0.1220166459679603,0.290884256362915,0.3493088117525241,311.283540725708,-0.4114068746566772,0.5782312925170068,0.7033492822966507,6919,TCN
0.0103617254644632,0.0801528543233871,0.1017925609485449,264.05045986175537,-0.392530083656311,0.5067114093959731,0.5016949152542373,1301,TCN
0.0310550797730684,0.1283026784658432,0.1762245152442429,236.8406057357788,-0.0866612195968627,0.6644295302013423,0.7890295358649789,1303,TCN
0.0130918668583035,0.0912916287779808,0.1144196961117427,183.9571714401245,-0.2674757242202759,0.5268456375838926,0.4679245283018868,6505,TCN
0.0033647452946752,0.0469916984438896,0.0580064245982738,328.4187316894531,-0.9753446578979492,0.4899328859060403,0.392,1216,TCN
0.0073359133675694,0.0649119466543197,0.0856499466874874,140.74194431304932,-0.0899569988250732,0.5234899328859061,0.5988700564971752,2002,TCN
0.0155406892299652,0.1044276058673858,0.1246623007567452,250.81562995910645,-0.438755989074707,0.4496644295302013,0.5418994413407822,9910,TCN
0.0521338656544685,0.1979807913303375,0.2283284162220474,577.9605388641357,-6.061784267425537,0.3456375838926174,0.5063291139240507,9921,TCN
0.0109503297135233,0.0900026857852935,0.1046438231025768,735.14723777771,-4.276143550872803,0.4496644295302013,0.6095238095238096,1402,TCN
0.0112197091802954,0.0867615416646003,0.1059231286372125,135.87576150894165,-0.4162529706954956,0.5033557046979866,0.6476190476190476,2330,Transformer
0.0115236034616827,0.0867827087640762,0.107348048243472,113.70781660079956,0.0023677349090576,0.5369127516778524,0.4772727272727273,2317,Transformer
0.0122150667011737,0.088436558842659,0.110521792878933,181.22363090515137,-0.0280671119689941,0.4798657718120805,0.6282973621103117,2454,Transformer
0.0367012657225132,0.1537083387374878,0.1915757440870665,188.49847316741943,-0.6143554449081421,0.540268456375839,0.6459948320413437,2308,Transformer
0.0119525203481316,0.0824834257364273,0.1093275827416469,229.65240478515625,-0.4682960510253906,0.5100671140939598,0.416,2382,Transformer
0.022487673908472,0.1130130439996719,0.1499589073995675,125.52661895751952,-0.2754850387573242,0.5469798657718121,0.6762589928057554,3711,Transformer
0.0152836069464683,0.0847206264734268,0.1236268860178414,257.678747177124,-0.4825276136398315,0.5,0.4063745019920319,2303,Transformer
0.0053301625885069,0.061010655015707,0.0730079625007227,545.7446098327637,-0.9039202928543092,0.3456375838926174,0.1702127659574468,2891,Transformer
0.0068138581700623,0.0716561526060104,0.0825460972430696,471.4663505554199,-1.548551082611084,0.3255033557046979,0.2178988326848249,2881,Transformer
0.0145760457962751,0.1043523997068405,0.1207312958444294,866.8843269348145,-1.2946548461914062,0.4093959731543624,0.0112359550561797,2882,Transformer
0.0025119571946561,0.0396322906017303,0.0501194293129534,268.94984245300293,-1.285677194595337,0.4463087248322148,0.1708542713567839,2886,Transformer
0.0037373760715126,0.0510733127593994,0.0611340827322427,150.53821802139282,-0.1079593896865844,0.5100671140939598,0.4427480916030534,2884,Transformer
0.0020654234103858,0.034878309816122,0.0454469296035039,161.28520965576172,-0.1263678073883056,0.4865771812080537,0.5616045845272206,2892,Transformer
0.0042505282908678,0.0574552938342094,0.065196075732116,248.8579511642456,-0.8816515207290649,0.2550335570469799,0.3431952662721893,2890,Transformer
0.0012343730777502,0.027846772223711,0.0351336459501459,232.8738212585449,-0.7161515951156616,0.5067114093959731,0.6141732283464567,5880,Transformer
0.0037702354602515,0.0470147356390953,0.0614022431206838,138.36184740066528,0.2540671825408935,0.6845637583892618,0.780373831775701,2883,Transformer
0.0096058100461959,0.0794191062450409,0.0980092344944902,223.78771305084229,-1.214179515838623,0.4060402684563758,0.2775510204081632,2887,Transformer
0.0057398974895477,0.063109777867794,0.0757621111740408,137.82033920288086,-0.4466606378555298,0.3523489932885906,0.3713355048859935,2885,Transformer
0.0147478086873888,0.0974428579211235,0.1214405561885686,388.53375911712646,-2.2564289569854736,0.5067114093959731,0.6201550387596899,5871,Transformer
0.0019266937160864,0.0343725346028804,0.0438941193793251,126.39999389648438,0.0720403790473938,0.7080536912751678,0.8249496981891348,2880,Transformer
0.0027130087837576,0.0427078679203987,0.0520865508913547,299.27682876586914,-0.9021828174591064,0.5067114093959731,0.5504587155963303,5876,Transformer
0.0007819117163307,0.0224956385791301,0.0279626843548826,174.5202898979187,-0.9834762811660768,0.4731543624161073,0.2189054726368159,2412,Transformer
0.0010814788984134,0.0276200138032436,0.0328858464755505,144.37296390533447,-0.4848264455795288,0.4228187919463087,0.4941176470588235,3045,Transformer
0.0015268567949533,0.0312944203615188,0.0390750149706093,142.8094983100891,0.0244945883750915,0.6375838926174496,0.7142857142857143,4904,Transformer
0.0194399878382682,0.1019796505570411,0.1394273568503264,209.23190116882324,-0.8872096538543701,0.412751677852349,0.2971887550200803,3231,Transformer
0.0124351689592003,0.0881551206111908,0.1115130887349121,146.0082769393921,-0.3069274425506592,0.5234899328859061,0.6712962962962963,2357,Transformer
0.0337917990982532,0.1558788269758224,0.1838254582430117,213.69802951812744,-0.366460919380188,0.4798657718120805,0.599483204134367,2059,Transformer
0.0194348692893981,0.1049796268343925,0.1394090000301207,150.61233043670654,-0.3701944351196289,0.4563758389261745,0.325,2301,Transformer
0.0230401530861854,0.1202595606446266,0.1517898319591449,146.62861824035645,0.0806896686553955,0.6644295302013423,0.7816593886462883,2345,Transformer
0.0173712037503719,0.1108381152153015,0.1317998624823711,563.886022567749,-1.635698318481445,0.5100671140939598,0.6117021276595744,3008,Transformer
0.00506571540609,0.0576001740992069,0.0711738393378495,215.0218963623047,-0.2096956968307495,0.5268456375838926,0.4872727272727272,2379,Transformer
0.1160531938076019,0.2562332451343536,0.3406658095665045,131.5307855606079,-0.4002077579498291,0.5704697986577181,0.6190476190476191,2408,Transformer
0.0038660643622279,0.0505253560841083,0.0621776837959401,198.98700714111328,-0.0270397663116455,0.5771812080536913,0.5367647058823529,3034,Transformer
0.0564349181950092,0.1973374634981155,0.2375603464280375,365.6378507614136,-1.994689464569092,0.3255033557046979,0.0195121951219512,2327,Transformer
0.0198590476065874,0.1189724579453468,0.1409221331324054,468.0583477020264,-3.3819475173950195,0.5268456375838926,0.6873614190687362,2474,Transformer
0.0097246626392006,0.083789587020874,0.0986137041145939,444.80528831481934,-0.4148728847503662,0.4798657718120805,0.6318289786223278,2395,Transformer
