,Open,High,Low,Close,Volume,RSI_14,MACD_12_26_9,SMA_10,SMA_20
2016-06-09,-1.5759628199342226,-1.5556198217603743,-1.5727221418935242,-1.5593171984836984,0.4256135071971165,1.0652710904678424,0.564733207084697,-1.5662959347896628,-1.659143687693972
2016-06-10,-1.5759628199342226,-1.5556198217603743,-1.5727221418935242,-1.5593171984836984,0.4256135071971165,1.0652710904678424,0.5600318488127392,-1.5593279655450045,-1.645881514329042
2016-06-13,-1.5846461655090425,-1.57285240228897,-1.594687139953855,-1.5897689168544695,-0.004049870147972095,0.5561987069590459,0.51435404923893,-1.5610699584880001,-1.6324019621286079
2016-06-14,-1.5629383321766719,-1.572851722766395,-1.5771146853255191,-1.5897682379244975,-0.4374143032597403,0.5562066224669535,0.4717020515540506,-1.5658603763153283,-1.6193572029256333
2016-06-15,-1.5499141097214608,-1.5685438525773379,-1.568329004524358,-1.5636671129882525,-0.3861373650655141,0.8540850124891133,0.46157005054867667,-1.5641183824026679,-1.6054427692374689
2016-06-16,-1.6541081546654888,-1.5814680505293142,-1.6561888713305717,-1.5723676423673094,0.659118884381057,0.7008714004498808,0.4374798841696865,-1.5658603736503327,-1.5939198873968743
2016-06-17,-1.6106940798147853,-1.6159335536672728,-1.6298311036332036,-1.6289199668144692,0.04332413171393828,-0.14931138466592792,0.34834455311646473,-1.5732637951076893,-1.5850059662166893
2016-06-20,-1.5846461655090425,-1.6030092568431722,-1.5902941972447315,-1.5984691329569298,-0.34522340939898605,0.2291619218718003,0.3081432361662572,-1.5758767686472577,-1.5745701949271496
2016-06-21,-1.5585963940869225,-1.577159562762243,-1.5683285605953072,-1.5854175548495624,-0.00929869890202523,0.3805834104658639,0.2869643250080075,-1.5776186536278007,-1.570221900509633
2016-06-22,-1.5585963940869225,-1.581467638136204,-1.5727215045319465,-1.5636666698803652,-0.3670935182154595,0.622631350827163,0.29081717036695603,-1.5780540798320128,-1.5656562074227263
2016-06-23,-1.5803036968146134,-1.581467783379258,-1.5683287075272876,-1.5636668165405558,-0.28190110666176804,0.6226290007035149,0.28951772405840875,-1.5784895207183975,-1.5630472382800071
2016-06-24,-1.6888399451507308,-1.5857766753135532,-1.7089050839759503,-1.5680177503348462,2.251396742532864,0.5487487567467032,0.27925169848297243,-1.5793605342098296,-1.560003453630629
2016-06-27,-1.6750580192136477,-1.6696846427278373,-1.7202447651634754,-1.7402029044479108,1.2122641815930946,-1.2920507041942049,0.07133310979010435,-1.5944205022446731,-1.5683915005467868
2016-06-28,-1.6980276304731134,-1.715271206530491,-1.7063001371941036,-1.7079818029170204,0.5324741470016451,-0.904951087229219,-0.056763269095661706,-1.6062548791601061,-1.5766911007218907
2016-06-29,-1.6888394145460515,-1.6788018221799252,-1.683057716433957,-1.7033784587878777,0.4113474564321265,-0.8505289820123509,-0.15224881557057393,-1.620241401989865,-1.5828039397624252
2016-06-30,-1.6337135679140953,-1.6514502878988762,-1.6644640530840233,-1.661950630321907,0.39216906650663974,-0.3814249116679571,-0.17924519379317289,-1.6292095677391383,-1.5881507739497096
2016-07-01,-1.6291195926017334,-1.6104228267951375,-1.6272767065466305,-1.6251258882768516,-0.036417636472551765,-0.01277785886323586,-0.1575057476876636,-1.6288297419935585,-1.5916571652827336
2016-07-04,-1.61993243788403,-1.6104232096996183,-1.6179800350697442,-1.6343323144817243,-0.849783487307784,-0.10432616731604112,-0.1501453665713981,-1.6324200102303539,-1.594754011128349
2016-07-05,-1.6337135679140953,-1.6423331994606611,-1.6319252623185905,-1.6297291184428602,-0.7732717422189851,-0.05614789105266571,-0.13843980673497414,-1.636856047205539,-1.5978382165539742
2016-07-06,-1.7164024705131997,-1.6788019122423123,-1.7016511950075501,-1.6665536564608512,0.7858981648359011,-0.43143820902855917,-0.17054613474549604,-1.647156078161915,-1.603197681347887
2016-07-07,-1.7164024705131997,-1.7015949881688495,-1.7016511950075501,-1.6987755266208742,-0.3092891963356469,-0.7249142590204642,-0.23138117606965983,-1.6606818304708786,-1.6101675310983163
2016-07-08,-1.7164024705131997,-1.7380636967347178,-1.7016511950075501,-1.7217906362732283,-1.440410704618046,-0.9196617289666529,-0.30356766093229637,-1.6760760560970474,-1.6182876302344174
2016-07-11,-1.7118087605031782,-1.6924779581333638,-1.697002906792641,-1.698775585155312,0.6036697258461868,-0.6328581175404414,-0.33151157375403373,-1.6719287612317277,-1.6237355666179978
2016-07-12,-1.6888394145460515,-1.7015948987543938,-1.692354410661353,-1.7033784587878777,0.14856979294586528,-0.675937338448677,-0.35586196757686606,-1.671467919791922,-1.6294135793986466
2016-07-13,-1.6245261478940516,-1.6332162267897046,-1.6598158217999976,-1.6757601691961066,0.9710201373297503,-0.3307848378286669,-0.340499910707492,-1.6687030488669203,-1.6350157673086196
2016-07-14,-1.5739940112721162,-1.5967471902143933,-1.6179800023286948,-1.6159201950756783,0.532339537973725,0.3000549817568838,-0.25757906591479945,-1.6640949354044787,-1.637192437233462
2016-07-15,-1.4958990839853725,-1.5192510754475153,-1.543605928254858,-1.5652864355852019,1.2165036075189666,0.7284841573590595,-0.13313542413158258,-1.658104399228609,-1.6340121599586552
2016-07-18,-1.4545546326858194,-1.4645476562895863,-1.4738794597864375,-1.491636833494199,0.4605383174322747,1.2238604889699618,0.04857978623603578,-1.643819134197966,-1.6286728942031123
2016-07-19,-1.4223970708016314,-1.4371955682111917,-1.4785273395769187,-1.4594148550731911,0.5512487757958595,1.4062251236496701,0.22601234706247597,-1.6267689489090067,-1.6223755299845621
2016-07-20,-1.463742052705863,-1.4508719082257349,-1.473879343648756,-1.4640182287956751,0.5579780400470821,1.348736948891157,0.35621532952870666,-1.6064930982494847,-1.6173952991765344
2016-07-21,-1.4499609226757983,-1.4508720821033385,-1.4413407289993647,-1.4548123594539195,0.30872617660098206,1.4043746669956687,0.46362556238984315,-1.5820699106574425,-1.6119549700065752
2016-07-22,-1.4775231827359283,-1.4782233541115979,-1.4738791682555565,-1.4640180534495266,-0.4213986648942286,1.2771559458030672,0.5310293429520004,-1.5562642604869794,-1.6067572720916263
2016-07-25,-1.5050865040054155,-1.4554302737547706,-1.5343084015257213,-1.45481200566207,0.35986857171977615,1.3403736550728458,0.5872459422150063,-1.5318410316168938,-1.5924940028322905
2016-07-26,-1.509680214015437,-1.5283679907212808,-1.5203633015709086,-1.5192549735714218,-0.20289952324761876,0.5017528413081169,0.5503545245895847,-1.5134084031518564,-1.5830618114244033
